district,cold_case
Jongno,178
Jung,419
Yongsan,1218
Seongdong,633
Gwangjin,1680
Dongdaemun,2651
Jungnang,2438
Seongbuk,1925
Gangbuk,1453
Dobong,1635
Nowon,3647
Eunpyeong,2405
Seodaemun,1318
Mapo,1445
Yangcheon,1128
Gangseo,4494
Guro,2041
Geumcheon,1773
Yeongdeungpo,2885
Dongjak,1422
Gwanak,3602
Seocho,1854
Gangnam,1988
Songpa,1249
Gangdong,3499
