date,county code,number of cold case,county name
2015-05-10,11110.0,112.0,Jongno
2015-05-11,11110.0,1413.0,Jongno
2015-05-12,11110.0,892.0,Jongno
2015-05-13,11110.0,893.0,Jongno
2015-05-14,11110.0,813.0,Jongno
2015-05-15,11110.0,861.0,Jongno
2015-05-16,11110.0,712.0,Jongno
2015-05-17,11110.0,115.0,Jongno
2015-05-18,11110.0,1400.0,Jongno
2015-05-19,11110.0,846.0,Jongno
2015-05-20,11110.0,863.0,Jongno
2015-05-21,11110.0,862.0,Jongno
2015-05-22,11110.0,1045.0,Jongno
2015-05-23,11110.0,814.0,Jongno
2015-05-24,11110.0,114.0,Jongno
2015-05-25,11110.0,219.0,Jongno
2015-05-26,11110.0,1323.0,Jongno
2015-05-27,11110.0,878.0,Jongno
2015-05-28,11110.0,852.0,Jongno
2015-05-29,11110.0,941.0,Jongno
2015-05-30,11110.0,772.0,Jongno
2015-05-31,11110.0,94.0,Jongno
2015-06-01,11110.0,1224.0,Jongno
2015-06-02,11110.0,862.0,Jongno
2015-06-03,11110.0,895.0,Jongno
2015-06-04,11110.0,916.0,Jongno
2015-06-05,11110.0,1081.0,Jongno
2015-06-06,11110.0,242.0,Jongno
2015-06-07,11110.0,112.0,Jongno
2015-06-08,11110.0,1302.0,Jongno
2015-06-09,11110.0,713.0,Jongno
2015-06-10,11110.0,705.0,Jongno
2015-06-11,11110.0,701.0,Jongno
2015-06-12,11110.0,707.0,Jongno
2015-06-13,11110.0,524.0,Jongno
2015-06-14,11110.0,68.0,Jongno
2015-06-15,11110.0,829.0,Jongno
2015-06-16,11110.0,576.0,Jongno
2015-06-17,11110.0,545.0,Jongno
2015-06-18,11110.0,580.0,Jongno
2015-06-19,11110.0,595.0,Jongno
2015-06-20,11110.0,393.0,Jongno
2015-06-21,11110.0,76.0,Jongno
2015-06-22,11110.0,750.0,Jongno
2015-06-23,11110.0,507.0,Jongno
2015-06-24,11110.0,446.0,Jongno
2015-06-25,11110.0,460.0,Jongno
2015-06-26,11110.0,509.0,Jongno
2015-06-27,11110.0,339.0,Jongno
2015-06-28,11110.0,54.0,Jongno
2015-06-29,11110.0,585.0,Jongno
2015-06-30,11110.0,407.0,Jongno
2015-07-01,11110.0,409.0,Jongno
2015-07-02,11110.0,440.0,Jongno
2015-07-03,11110.0,424.0,Jongno
2015-07-04,11110.0,359.0,Jongno
2015-07-05,11110.0,53.0,Jongno
2015-07-06,11110.0,609.0,Jongno
2015-07-07,11110.0,431.0,Jongno
2015-07-08,11110.0,421.0,Jongno
2015-07-09,11110.0,408.0,Jongno
2015-07-10,11110.0,435.0,Jongno
2015-07-11,11110.0,330.0,Jongno
2015-07-12,11110.0,48.0,Jongno
2015-07-13,11110.0,526.0,Jongno
2015-07-14,11110.0,382.0,Jongno
2015-07-15,11110.0,406.0,Jongno
2015-07-16,11110.0,411.0,Jongno
2015-07-17,11110.0,528.0,Jongno
2015-07-18,11110.0,412.0,Jongno
2015-07-19,11110.0,59.0,Jongno
2015-07-20,11110.0,673.0,Jongno
2015-07-21,11110.0,468.0,Jongno
2015-07-22,11110.0,439.0,Jongno
2015-07-23,11110.0,417.0,Jongno
2015-07-24,11110.0,436.0,Jongno
2015-07-25,11110.0,398.0,Jongno
2015-07-26,11110.0,50.0,Jongno
2015-07-27,11110.0,625.0,Jongno
2015-07-28,11110.0,451.0,Jongno
2015-07-29,11110.0,456.0,Jongno
2015-07-30,11110.0,446.0,Jongno
2015-07-31,11110.0,477.0,Jongno
2015-08-01,11110.0,396.0,Jongno
2015-08-02,11110.0,72.0,Jongno
2015-08-03,11110.0,688.0,Jongno
2015-08-04,11110.0,457.0,Jongno
2015-08-05,11110.0,508.0,Jongno
2015-08-06,11110.0,484.0,Jongno
2015-08-07,11110.0,497.0,Jongno
2015-08-08,11110.0,420.0,Jongno
2015-08-09,11110.0,70.0,Jongno
2015-08-10,11110.0,744.0,Jongno
2015-08-11,11110.0,554.0,Jongno
2015-08-12,11110.0,519.0,Jongno
2015-08-13,11110.0,534.0,Jongno
2015-08-14,11110.0,384.0,Jongno
2015-08-15,11110.0,130.0,Jongno
2015-08-16,11110.0,112.0,Jongno
2015-08-17,11110.0,800.0,Jongno
2015-08-18,11110.0,548.0,Jongno
2015-08-19,11110.0,568.0,Jongno
2015-08-20,11110.0,578.0,Jongno
2015-08-21,11110.0,638.0,Jongno
2015-08-22,11110.0,451.0,Jongno
2015-08-23,11110.0,76.0,Jongno
