date,county code,number of cold case,county name
2014-07-01,11110,702,Jongno
2014-07-02,11110,706,Jongno
2014-07-03,11110,662,Jongno
2014-07-04,11110,737,Jongno
2014-07-05,11110,599,Jongno
2014-07-06,11110,101,Jongno
2014-07-07,11110,1024,Jongno
2014-07-08,11110,649,Jongno
2014-07-09,11110,643,Jongno
2014-07-10,11110,639,Jongno
2014-07-11,11110,721,Jongno
2014-07-12,11110,583,Jongno
2014-07-13,11110,98,Jongno
2014-07-14,11110,1068,Jongno
2014-07-15,11110,698,Jongno
2014-07-16,11110,666,Jongno
2014-07-17,11110,695,Jongno
2014-07-18,11110,691,Jongno
2014-07-19,11110,585,Jongno
2014-07-20,11110,80,Jongno
2014-07-21,11110,958,Jongno
2014-07-22,11110,623,Jongno
2014-07-23,11110,644,Jongno
2014-07-24,11110,653,Jongno
2014-07-25,11110,647,Jongno
2014-07-26,11110,576,Jongno
2014-07-27,11110,107,Jongno
2014-07-28,11110,1023,Jongno
2014-07-29,11110,710,Jongno
2014-07-30,11110,701,Jongno
2014-07-31,11110,629,Jongno
2014-08-01,11110,681,Jongno
2014-08-02,11110,482,Jongno
2014-08-03,11110,89,Jongno
2014-08-04,11110,881,Jongno
2014-08-05,11110,566,Jongno
2014-08-06,11110,580,Jongno
2014-08-07,11110,602,Jongno
2014-08-08,11110,676,Jongno
2014-08-09,11110,563,Jongno
2014-08-10,11110,80,Jongno
2014-08-11,11110,862,Jongno
2014-08-12,11110,630,Jongno
2014-08-13,11110,530,Jongno
2014-08-14,11110,685,Jongno
2014-08-15,11110,76,Jongno
2014-08-16,11110,483,Jongno
2014-08-17,11110,60,Jongno
2014-08-18,11110,908,Jongno
2014-08-19,11110,603,Jongno
2014-08-20,11110,617,Jongno
2014-08-21,11110,575,Jongno
2014-08-22,11110,691,Jongno
2014-08-23,11110,559,Jongno
2014-08-24,11110,72,Jongno
2014-08-25,11110,943,Jongno
2014-08-26,11110,675,Jongno
2014-08-27,11110,684,Jongno
2014-08-28,11110,689,Jongno
2014-08-29,11110,761,Jongno
2014-08-30,11110,665,Jongno
2014-08-31,11110,101,Jongno
2014-09-01,11110,1072,Jongno
2014-09-02,11110,783,Jongno
2014-09-03,11110,681,Jongno
2014-09-04,11110,866,Jongno
2014-09-05,11110,1115,Jongno
2014-09-06,11110,925,Jongno
2014-09-07,11110,93,Jongno
2014-09-08,11110,34,Jongno
2014-09-09,11110,136,Jongno
2014-09-10,11110,807,Jongno
2014-09-11,11110,1301,Jongno
2014-09-12,11110,912,Jongno
2014-09-13,11110,885,Jongno
2014-09-14,11110,112,Jongno
2014-09-15,11110,1291,Jongno
2014-09-16,11110,950,Jongno
2014-09-17,11110,982,Jongno
2014-09-18,11110,936,Jongno
2014-09-19,11110,1066,Jongno
2014-09-20,11110,832,Jongno
2014-09-21,11110,123,Jongno
2014-09-22,11110,1376,Jongno
2014-09-23,11110,968,Jongno
2014-09-24,11110,881,Jongno
2014-09-25,11110,888,Jongno
2014-09-26,11110,935,Jongno
2014-09-27,11110,774,Jongno
2014-09-28,11110,99,Jongno
2014-09-29,11110,1204,Jongno
2014-09-30,11110,777,Jongno
2014-10-01,11110,868,Jongno
2014-10-02,11110,1005,Jongno
2014-10-03,11110,180,Jongno
2014-10-04,11110,968,Jongno
2014-10-05,11110,118,Jongno
2014-10-06,11110,1480,Jongno
2014-10-07,11110,1067,Jongno
2014-10-08,11110,1086,Jongno
2014-10-09,11110,232,Jongno
2014-10-10,11110,1370,Jongno
2014-10-11,11110,863,Jongno
2014-10-12,11110,120,Jongno
2014-10-13,11110,1423,Jongno
2014-10-14,11110,962,Jongno
2014-10-15,11110,999,Jongno
2014-10-16,11110,1053,Jongno
2014-10-17,11110,1127,Jongno
2014-10-18,11110,886,Jongno
2014-10-19,11110,139,Jongno
2014-10-20,11110,1403,Jongno
2014-10-21,11110,864,Jongno
2014-10-22,11110,966,Jongno
2014-10-23,11110,1030,Jongno
2014-10-24,11110,1073,Jongno
2014-10-25,11110,830,Jongno
2014-10-26,11110,129,Jongno
2014-10-27,11110,1480,Jongno
2014-10-28,11110,1135,Jongno
2014-10-29,11110,1110,Jongno
2014-10-30,11110,1109,Jongno
2014-10-31,11110,1152,Jongno
2014-11-01,11110,958,Jongno
2014-11-02,11110,154,Jongno
2014-11-03,11110,1658,Jongno
2014-11-04,11110,1115,Jongno
2014-11-05,11110,1093,Jongno
2014-11-06,11110,1092,Jongno
2014-11-07,11110,1270,Jongno
2014-11-08,11110,1019,Jongno
2014-11-09,11110,128,Jongno
2014-11-10,11110,1693,Jongno
2014-11-11,11110,1163,Jongno
2014-11-12,11110,1185,Jongno
2014-11-13,11110,1110,Jongno
2014-11-14,11110,1368,Jongno
2014-11-15,11110,1042,Jongno
2014-11-16,11110,150,Jongno
2014-11-17,11110,1777,Jongno
2014-11-18,11110,1134,Jongno
2014-11-19,11110,1204,Jongno
2014-11-20,11110,1198,Jongno
2014-11-21,11110,1353,Jongno
2014-11-22,11110,964,Jongno
2014-11-23,11110,142,Jongno
2014-11-24,11110,1679,Jongno
2014-11-25,11110,1141,Jongno
2014-11-26,11110,1140,Jongno
2014-11-27,11110,1164,Jongno
2014-11-28,11110,1048,Jongno
2014-11-29,11110,948,Jongno
2014-11-30,11110,134,Jongno
2014-12-01,11110,1494,Jongno
2014-12-02,11110,1048,Jongno
2014-12-03,11110,1097,Jongno
2014-12-04,11110,1180,Jongno
2014-12-05,11110,1142,Jongno
2014-12-06,11110,928,Jongno
2014-12-07,11110,116,Jongno
2014-12-08,11110,1527,Jongno
2014-12-09,11110,1047,Jongno
2014-12-10,11110,1094,Jongno
2014-12-11,11110,1058,Jongno
2014-12-12,11110,1068,Jongno
2014-12-13,11110,905,Jongno
2014-12-14,11110,112,Jongno
2014-12-15,11110,1339,Jongno
2014-12-16,11110,958,Jongno
2014-12-17,11110,901,Jongno
2014-12-18,11110,946,Jongno
2014-12-19,11110,1049,Jongno
2014-12-20,11110,827,Jongno
2014-12-21,11110,123,Jongno
2014-12-22,11110,1385,Jongno
2014-12-23,11110,943,Jongno
2014-12-24,11110,1074,Jongno
2014-12-25,11110,92,Jongno
2014-12-26,11110,1471,Jongno
2014-12-27,11110,884,Jongno
2014-12-28,11110,126,Jongno
