district,cold_case
Jongno,1030
Jung,880
Yongsan,1584
Seongdong,2118
Gwangjin,2345
Dongdaemun,2930
Jungnang,3332
Seongbuk,3337
Gangbuk,2904
Dobong,3013
Nowon,4003
Eunpyeong,3239
Seodaemun,1685
Mapo,2419
Yangcheon,3855
Gangseo,4184
Guro,4000
Geumcheon,1857
Yeongdeungpo,3036
Dongjak,3323
Gwanak,2539
Seocho,1870
Gangnam,4107
Songpa,5868
Gangdong,2360
