district,cold_case,LSTM
종로구,178,1741
중구,419,1667
용산구,1218,1892
성동구,633,4757
광진구,1680,3272
동대문구,2651,4489
중랑구,2438,3966
성북구,1925,6579
강북구,1453,3678
도봉구,1635,2301
노원구,3647,6212
은평구,2405,4541
서대문구,1318,3383
마포구,1445,3785
양천구,1128,7060
강서구,4494,6612
구로구,2041,4087
금천구,1773,2761
영등포구,2885,5978
동작구,1422,3877
관악구,3602,5968
서초구,1854,4108
강남구,1988,5376
송파구,1249,4798
강동구,3499,4243
